canonical_product_id,shop,name,category,group,n_episodes,n_price_states,first_seen,last_seen,promo_hours,median_discount,max_discount,min_price,max_price,observed_hours,promo_days,price_spread_pct
prod_607ae73404b90a7f,holodilnik,Стиральная машина Stinol WSTU 410 B,электроника,бытовая техника,1,1,2026-09-17 15:05:38.985,2026-09-17 16:43:32.603,1.63,8.85,8.85,20499.0,20499.0,1.63,0.07,0.0
prod_61c4d629aa2094af,magnit,"Скраб для тела Рецепты бабушки Агафьи морошка на сахаре, 300 мл",косметика,уход за телом,1,1,2026-09-17 14:43:16.365,2026-09-17 16:41:13.538,1.97,13.04,13.04,199.99,199.99,1.97,0.08,0.0
prod_63824390026c58c5,magnit,"Скраб для тела Synergetic Цветущий инжир и лотос, 300 мл",косметика,уход за телом,1,1,2026-09-17 14:43:16.369,2026-09-17 16:41:13.540,1.97,22.4,22.4,387.99,387.99,1.97,0.08,0.0
prod_648d04b3570c1067,podruzhka,Крем-спрей для волос `MIXIT` RE:START многофункциональный 15в1 250 мл,косметика,уход за волосами,1,1,2026-09-17 15:05:45.837,2026-09-17 16:33:47.596,1.47,48.67,48.67,271.0,271.0,1.47,0.06,0.0
prod_65050a5317e73975,mvideo,Фартук рабочий ProfiCool Непромокаемый фартук профессиональный для работы,прочее,хозтовары,1,1,2026-09-17 14:43:17.146,2026-09-17 16:41:24.861,1.97,58.87,58.87,1103.0,1103.0,1.97,0.08,0.0
prod_693e94418bf94ca0,lenta,"Мармелад жевательный ORION Tinglezz со вкусом колы и лайма , 75г",продукты,кондитерские изделия,1,1,2026-09-17 14:43:50.651,2026-09-17 16:37:37.960,1.9,19.25,19.25,254.99,254.99,1.9,0.08,0.0
prod_6d4ca4b35f51aeed,lenta,"Яйцо шоколадное MEGA SECRET Пираты-прилипалы , 20г",продукты,кондитерские изделия,1,1,2026-09-17 14:44:00.680,2026-09-17 16:37:46.862,1.9,18.17,18.17,49.99,49.99,1.9,0.08,0.0
prod_6e4f288a9869d9a2,podruzhka,Сыворотка для лица `DR. ALTHEA` SKIN RELIEF ESSENCE успокаивающая против несовершенств 30 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:45.832,2026-09-17 16:33:47.595,1.47,26.05,26.05,1320.0,1320.0,1.47,0.06,0.0
prod_6e5d8b4717e75beb,holodilnik,Стиральная машина Samsung WW60AG4S00CELD,электроника,бытовая техника,1,1,2026-09-17 16:33:31.792,2026-09-17 16:43:32.598,0.17,7.0,7.0,34399.0,34399.0,0.17,0.01,0.0
prod_6f685630f66e9218,mvideo,Погремушка ND Play Веселый кролик NDT-004,прочее,товары для детей,1,1,2026-09-17 14:43:17.124,2026-09-17 16:41:24.849,1.97,4.19,4.19,824.0,824.0,1.97,0.08,0.0
prod_6fae1d12871bd861,iledebeaute,Lotion Tonique Hydratante Увлажняющий тоник для нормальной и сухой кожи,косметика,не распознано,1,1,2026-09-17 15:06:13.342,2026-09-17 16:37:14.183,1.52,30.0,30.0,2240.0,2240.0,1.52,0.06,0.0
prod_6fe50946c0cfb29b,podruzhka,Гель-ламинатор для бровей `LUXVISAGE` BROW LAMINATOR суперсильной фиксации тон Бесцветный,косметика,декоративная косметика,1,1,2026-09-17 15:05:41.614,2026-09-17 16:33:44.880,1.47,45.01,45.01,226.0,226.0,1.47,0.06,0.0
