canonical_product_id,shop,episode_id,name,category,group,n_price_states,started_at,ended_at,median_discount,max_discount,min_price,max_price,duration_hours,duration_days,price_changed
prod_602bc172f7aca7a4,mvideo,50,Мяч гимнастический фитбол 75 см,прочее,спорт и отдых,1,2026-09-17 14:43:17.137,2026-09-17 16:41:24.855,39.112050739957716,39.112050739957716,2016.0,2016.0,1.97,0.08,False
prod_203c8a6b8f2a2852,mvideo,15,Килт банный для мужчин Everliness Килт махровый мужской с вышивкой,прочее,хозтовары,1,2026-09-17 14:43:17.138,2026-09-17 16:41:24.856,31.720000000000002,31.720000000000002,1707.0,1707.0,1.97,0.08,False
prod_1ce85aaf7ae3a9d6,mvideo,13,"Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598",прочее,авто и мото,1,2026-09-17 14:43:17.140,2026-09-17 16:41:24.857,52.241379310344826,52.241379310344826,277.0,277.0,1.97,0.08,False
prod_8bf6bbd403655071,mvideo,71,Машина отрезная прямая пневматическая Concorde композитная CD-SG20000C,прочее,авто и мото,1,2026-09-17 14:43:17.141,2026-09-17 16:41:24.858,75.1318504930062,75.1318504930062,2169.0,2169.0,1.97,0.08,False
prod_4fe7d8e5bcf10870,mvideo,40,"Матрасик для пеленания на кроватку Mr Sandman, доска пеленальная на комод, 68х47 см, от 0 до 6 месяцев.",прочее,товары для детей,1,2026-09-17 14:43:17.143,2026-09-17 16:41:24.859,44.16,44.16,2792.0,2792.0,1.97,0.08,False
prod_a718280b1b4d1084,mvideo,86,MK3106 Переходник 1/4 DR (квадрат) — 1/4 HEX (шестигранник) (10шт) MKSS,прочее,инструменты,1,2026-09-17 14:43:17.144,2026-09-17 16:41:24.860,9.80980980980981,9.80980980980981,901.0,901.0,1.97,0.08,False
prod_65050a5317e73975,mvideo,55,Фартук рабочий ProfiCool Непромокаемый фартук профессиональный для работы,прочее,хозтовары,1,2026-09-17 14:43:17.146,2026-09-17 16:41:24.861,58.87397464578672,58.87397464578672,1103.0,1103.0,1.97,0.08,False
prod_7b32c23583c4f079,mvideo,65,Фетальный допплер для беременных домашний,электроника,электроника,1,2026-09-17 14:43:17.148,2026-09-17 16:41:24.862,60.542857142857144,60.542857142857144,1381.0,1381.0,1.97,0.08,False
prod_3990e343bc29ca7a,mvideo,27,Аксессуар для дайвинга DJI Комплект для дайвинга Osmo Action Diving Accessory Kit,прочее,спорт и отдых,1,2026-09-17 14:43:17.161,2026-09-17 16:41:24.864,42.9696379282351,42.9696379282351,7025.0,7025.0,1.97,0.08,False
prod_9540ca69ed79ba3c,mvideo,76,Ходунки для малыша Solmax SM99817,прочее,товары для детей,1,2026-09-17 14:43:17.164,2026-09-17 16:41:24.865,35.05674653215637,35.05674653215637,4635.0,4635.0,1.97,0.08,False
