canonical_product_id,name,shop,category,group,episode_id,first_seen,last_seen,duration_hours,n_obs,original_price,promotion_price,discount_pct,saving
prod_a68ca3d4b6d009a6,"Фитобальзам Чистая линия повышающий упругость тела, 200 мл",magnit,косметика,уход за телом,85,2026-09-17 14:43:16.360,2026-09-17 16:41:13.536,1.97,7,309.99,264.99,14.52,45.0
prod_b3d62f832d62098d,"Скраб для тела Черный жемчуг Идеальная кожа, 200 мл",magnit,косметика,уход за телом,94,2026-09-17 14:43:16.363,2026-09-17 15:03:19.686,0.33,3,529.99,389.99,26.42,140.0
prod_15734fa5f632edae,Шнек (300х800 мм) для бензобура Gigant 12-010,mvideo,прочее,авто и мото,9,2026-09-17 14:43:17.178,2026-09-17 16:41:24.868,1.97,7,12431.0,9547.0,23.2,2884.0
prod_1ce85aaf7ae3a9d6,"Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598",mvideo,прочее,авто и мото,13,2026-09-17 14:43:17.140,2026-09-17 16:41:24.857,1.97,7,580.0,277.0,52.24,303.0
prod_203c8a6b8f2a2852,Килт банный для мужчин Everliness Килт махровый мужской с вышивкой,mvideo,прочее,хозтовары,15,2026-09-17 14:43:17.138,2026-09-17 16:41:24.856,1.97,7,2500.0,1707.0,31.72,793.0
prod_3990e343bc29ca7a,Аксессуар для дайвинга DJI Комплект для дайвинга Osmo Action Diving Accessory Kit,mvideo,прочее,спорт и отдых,27,2026-09-17 14:43:17.161,2026-09-17 16:41:24.864,1.97,7,12318.0,7025.0,42.97,5293.0
prod_41f71a665d573856,"Лодочный мотор MARLIN MP 9.9 (15) AMHS, двухтактный, бензиновый",mvideo,прочее,авто и мото,33,2026-09-17 14:43:17.130,2026-09-17 16:41:24.852,1.97,7,131200.0,122496.0,6.63,8704.0
prod_4fe7d8e5bcf10870,"Матрасик для пеленания на кроватку Mr Sandman, доска пеленальная на комод, 68х47 см, от 0 до 6 месяцев.",mvideo,прочее,товары для детей,40,2026-09-17 14:43:17.143,2026-09-17 16:41:24.859,1.97,7,5000.0,2792.0,44.16,2208.0
prod_602bc172f7aca7a4,Мяч гимнастический фитбол 75 см,mvideo,прочее,спорт и отдых,50,2026-09-17 14:43:17.137,2026-09-17 16:41:24.855,1.97,7,3311.0,2016.0,39.11,1295.0
prod_65050a5317e73975,Фартук рабочий ProfiCool Непромокаемый фартук профессиональный для работы,mvideo,прочее,хозтовары,55,2026-09-17 14:43:17.146,2026-09-17 16:41:24.861,1.97,7,2682.0,1103.0,58.87,1579.0
